"CODE","DESCRIPTION","VALID","VALID_THRU"
"25Z","Skilled Nursing Facility (SNF) Intermediate Care - Level I New Abbreviated Encounter Submission","1",""
"260","Skilled Nursing Facility (SNF) Intermediate Care - Level II Non-payment/Zero Claim","1",""
"261","Skilled Nursing Facility (SNF) Intermediate Care - Level II Admit Through Discharge","1",""
"262","Skilled Nursing Facility (SNF) Intermediate Care - Level II Interim - First Claim","1",""
"263","Skilled Nursing Facility (SNF) Intermediate Care - Level II Interim-Continuing Claims","1",""
"264","Skilled Nursing Facility (SNF) Intermediate Care - Level II Interim - Last Claim","1",""
"265","Skilled Nursing Facility (SNF) Intermediate Care - Level II Late Charge Only","1",""
"267","Skilled Nursing Facility (SNF) Intermediate Care - Level II Replacement of Prior Claim","1",""
"268","Skilled Nursing Facility (SNF) Intermediate Care - Level II Void/Cancel of Prior Claim","1",""
"269","Skilled Nursing Facility (SNF) Intermediate Care - Level II Final claim for a Home Health PPS Period","1",""
"26A","Skilled Nursing Facility (SNF) Intermediate Care - Level II Admission/Election Notice for Hospice","1",""
"26B","Skilled Nursing Facility (SNF) Intermediate Care - Level II Hospice Termination/ Revocation Notice","1",""
"26C","Skilled Nursing Facility (SNF) Intermediate Care - Level II Hospice Change of Provider Notice","1",""
"26D","Skilled Nursing Facility (SNF) Intermediate Care - Level II Hospice Election Void/Cancel","1",""
"26E","Skilled Nursing Facility (SNF) Intermediate Care - Level II Hospice Change of Ownership","1",""
"26F","Skilled Nursing Facility (SNF) Intermediate Care - Level II Beneficiary Initiated Adjustment Claim","1",""
"26G","Skilled Nursing Facility (SNF) Intermediate Care - Level II CWF Initiated Adjustment Claim","1",""
"26H","Skilled Nursing Facility (SNF) Intermediate Care - Level II CMS Initiated Adjustment Claim","1",""
"26I","Skilled Nursing Facility (SNF) Intermediate Care - Level II FI Adjustment Claim (Other than QIO or Provider)","1",""
"26J","Skilled Nursing Facility (SNF) Intermediate Care - Level II Initiated Adjustment Claim/Other","1",""
"26K","Skilled Nursing Facility (SNF) Intermediate Care - Level II OIG Initiated Adjustment Claim","1",""
"26M","Skilled Nursing Facility (SNF) Intermediate Care - Level II MSP Initiated Adjustment Claim","1",""
"26O","Skilled Nursing Facility (SNF) Intermediate Care - Level II Nonpayment/Zero Claims","1",""
"26P","Skilled Nursing Facility (SNF) Intermediate Care - Level II QIO Adjustment Claim","1",""
"26Q","Skilled Nursing Facility (SNF) Intermediate Care - Level II Reopening/Adjustment","1",""
"26X","Skilled Nursing Facility (SNF) Intermediate Care - Level II Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"26Y","Skilled Nursing Facility (SNF) Intermediate Care - Level II Replacement of Prior Abbreviated Encounter Submission","1",""
"26Z","Skilled Nursing Facility (SNF) Intermediate Care - Level II New Abbreviated Encounter Submission","1",""
"270","Skilled Nursing Facility (SNF) Subacute Inpatient Non-payment/Zero Claim","1",""
"271","Skilled Nursing Facility (SNF) Subacute Inpatient Admit Through Discharge","1",""
"272","Skilled Nursing Facility (SNF) Subacute Inpatient Interim - First Claim","1",""
"273","Skilled Nursing Facility (SNF) Subacute Inpatient Interim-Continuing Claims","1",""
"274","Skilled Nursing Facility (SNF) Subacute Inpatient Interim - Last Claim","1",""
"275","Skilled Nursing Facility (SNF) Subacute Inpatient Late Charge Only","1",""
"277","Skilled Nursing Facility (SNF) Subacute Inpatient Replacement of Prior Claim","1",""
"278","Skilled Nursing Facility (SNF) Subacute Inpatient Void/Cancel of Prior Claim","1",""
"279","Skilled Nursing Facility (SNF) Subacute Inpatient Final claim for a Home Health PPS Period","1",""
"27A","Skilled Nursing Facility (SNF) Subacute Inpatient Admission/Election Notice for Hospice","1",""
"27B","Skilled Nursing Facility (SNF) Subacute Inpatient Hospice Termination/ Revocation Notice","1",""
"27C","Skilled Nursing Facility (SNF) Subacute Inpatient Hospice Change of Provider Notice","1",""
"27D","Skilled Nursing Facility (SNF) Subacute Inpatient Hospice Election Void/Cancel","1",""
"27E","Skilled Nursing Facility (SNF) Subacute Inpatient Hospice Change of Ownership","1",""
"27F","Skilled Nursing Facility (SNF) Subacute Inpatient Beneficiary Initiated Adjustment Claim","1",""
"27G","Skilled Nursing Facility (SNF) Subacute Inpatient CWF Initiated Adjustment Claim","1",""
"27H","Skilled Nursing Facility (SNF) Subacute Inpatient CMS Initiated Adjustment Claim","1",""
"27I","Skilled Nursing Facility (SNF) Subacute Inpatient FI Adjustment Claim (Other than QIO or Provider)","1",""
"27J","Skilled Nursing Facility (SNF) Subacute Inpatient Initiated Adjustment Claim/Other","1",""
"27K","Skilled Nursing Facility (SNF) Subacute Inpatient OIG Initiated Adjustment Claim","1",""
"27M","Skilled Nursing Facility (SNF) Subacute Inpatient MSP Initiated Adjustment Claim","1",""
"27O","Skilled Nursing Facility (SNF) Subacute Inpatient Nonpayment/Zero Claims","1",""
"27P","Skilled Nursing Facility (SNF) Subacute Inpatient QIO Adjustment Claim","1",""
"27Q","Skilled Nursing Facility (SNF) Subacute Inpatient Reopening/Adjustment","1",""
"27X","Skilled Nursing Facility (SNF) Subacute Inpatient Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"27Y","Skilled Nursing Facility (SNF) Subacute Inpatient Replacement of Prior Abbreviated Encounter Submission","1",""
"27Z","Skilled Nursing Facility (SNF) Subacute Inpatient New Abbreviated Encounter Submission","1",""
"280","Skilled Nursing Facility (SNF) Swing BedsNon-payment/Zero Claim","1",""
"281","Skilled Nursing Facility (SNF) Swing BedsAdmit Through Discharge","1",""
"282","Skilled Nursing Facility (SNF) Swing BedsInterim - First Claim","1",""
"283","Skilled Nursing Facility (SNF) Swing BedsInterim-Continuing Claims","1",""
"284","Skilled Nursing Facility (SNF) Swing BedsInterim - Last Claim","1",""
"285","Skilled Nursing Facility (SNF) Swing BedsLate Charge Only","1",""
"287","Skilled Nursing Facility (SNF) Swing BedsReplacement of Prior Claim","1",""
"288","Skilled Nursing Facility (SNF) Swing BedsVoid/Cancel of Prior Claim","1",""
"289","Skilled Nursing Facility (SNF) Swing BedsFinal claim for a Home Health PPS Period","1",""
"28A","Skilled Nursing Facility (SNF) Swing BedsAdmission/Election Notice for Hospice","1",""
"28B","Skilled Nursing Facility (SNF) Swing BedsHospice Termination/ Revocation Notice","1",""
"28C","Skilled Nursing Facility (SNF) Swing BedsHospice Change of Provider Notice","1",""
"28D","Skilled Nursing Facility (SNF) Swing BedsHospice Election Void/Cancel","1",""
"28E","Skilled Nursing Facility (SNF) Swing BedsHospice Change of Ownership","1",""
"28F","Skilled Nursing Facility (SNF) Swing BedsBeneficiary Initiated Adjustment Claim","1",""
"28G","Skilled Nursing Facility (SNF) Swing BedsCWF Initiated Adjustment Claim","1",""
"28H","Skilled Nursing Facility (SNF) Swing BedsCMS Initiated Adjustment Claim","1",""
"28I","Skilled Nursing Facility (SNF) Swing BedsFI Adjustment Claim (Other than QIO or Provider)","1",""
"28J","Skilled Nursing Facility (SNF) Swing BedsInitiated Adjustment Claim/Other","1",""
"28K","Skilled Nursing Facility (SNF) Swing BedsOIG Initiated Adjustment Claim","1",""
"28M","Skilled Nursing Facility (SNF) Swing BedsMSP Initiated Adjustment Claim","1",""
"28O","Skilled Nursing Facility (SNF) Swing BedsNonpayment/Zero Claims","1",""
"28P","Skilled Nursing Facility (SNF) Swing BedsQIO Adjustment Claim","1",""
"28Q","Skilled Nursing Facility (SNF) Swing BedsReopening/Adjustment","1",""
"28X","Skilled Nursing Facility (SNF) Swing BedsVoid/Cancel a Prior Abbreviated Encounter Submission","1",""
"28Y","Skilled Nursing Facility (SNF) Swing BedsReplacement of Prior Abbreviated Encounter Submission","1",""
"28Z","Skilled Nursing Facility (SNF) Swing BedsNew Abbreviated Encounter Submission","1",""
"310","Home Health Inpatient (Part A) Non-payment/Zero Claim","1",""
"311","Home Health Inpatient (Part A) Admit Through Discharge","1",""
"312","Home Health Inpatient (Part A) Interim - First Claim","1",""
"313","Home Health Inpatient (Part A) Interim-Continuing Claims","1",""
"314","Home Health Inpatient (Part A) Interim - Last Claim","1",""
"315","Home Health Inpatient (Part A) Late Charge Only","1",""
"317","Home Health Inpatient (Part A) Replacement of Prior Claim","1",""
"318","Home Health Inpatient (Part A) Void/Cancel of Prior Claim","1",""
"319","Home Health Inpatient (Part A) Final claim for a Home Health PPS Period","1",""
"31A","Home Health Inpatient (Part A) Admission/Election Notice for Hospice","1",""
"31B","Home Health Inpatient (Part A) Hospice Termination/ Revocation Notice","1",""
"31C","Home Health Inpatient (Part A) Hospice Change of Provider Notice","1",""
"31D","Home Health Inpatient (Part A) Hospice Election Void/Cancel","1",""
"31E","Home Health Inpatient (Part A) Hospice Change of Ownership","1",""
"31F","Home Health Inpatient (Part A) Beneficiary Initiated Adjustment Claim","1",""
"31G","Home Health Inpatient (Part A) CWF Initiated Adjustment Claim","1",""
"31H","Home Health Inpatient (Part A) CMS Initiated Adjustment Claim","1",""
"31I","Home Health Inpatient (Part A) FI Adjustment Claim (Other than QIO or Provider)","1",""
"31J","Home Health Inpatient (Part A) Initiated Adjustment Claim/Other","1",""
"31K","Home Health Inpatient (Part A) OIG Initiated Adjustment Claim","1",""
"31M","Home Health Inpatient (Part A) MSP Initiated Adjustment Claim","1",""
"31O","Home Health Inpatient (Part A) Nonpayment/Zero Claims","1",""
"31P","Home Health Inpatient (Part A) QIO Adjustment Claim","1",""
"31Q","Home Health Inpatient (Part A) Reopening/Adjustment","1",""
"31X","Home Health Inpatient (Part A) Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"31Y","Home Health Inpatient (Part A) Replacement of Prior Abbreviated Encounter Submission","1",""
"31Z","Home Health Inpatient (Part A) New Abbreviated Encounter Submission","1",""
"320","Home Health Inpatient (Part B) Non-payment/Zero Claim","1",""
"321","Home Health Inpatient (Part B) Admit Through Discharge","1",""
"322","Home Health Inpatient (Part B) Interim - First Claim","1",""
"323","Home Health Inpatient (Part B) Interim-Continuing Claims","1",""
"324","Home Health Inpatient (Part B) Interim - Last Claim","1",""
"325","Home Health Inpatient (Part B) Late Charge Only","1",""
"327","Home Health Inpatient (Part B) Replacement of Prior Claim","1",""
"328","Home Health Inpatient (Part B) Void/Cancel of Prior Claim","1",""
"329","Home Health Inpatient (Part B) Final claim for a Home Health PPS Period","1",""
"32A","Home Health Inpatient (Part B) Admission/Election Notice for Hospice","1",""
"32B","Home Health Inpatient (Part B) Hospice Termination/ Revocation Notice","1",""
"32C","Home Health Inpatient (Part B) Hospice Change of Provider Notice","1",""
"32D","Home Health Inpatient (Part B) Hospice Election Void/Cancel","1",""
"32E","Home Health Inpatient (Part B) Hospice Change of Ownership","1",""
"32F","Home Health Inpatient (Part B) Beneficiary Initiated Adjustment Claim","1",""
"32G","Home Health Inpatient (Part B) CWF Initiated Adjustment Claim","1",""
"32H","Home Health Inpatient (Part B) CMS Initiated Adjustment Claim","1",""
"32I","Home Health Inpatient (Part B) FI Adjustment Claim (Other than QIO or Provider)","1",""
"32J","Home Health Inpatient (Part B) Initiated Adjustment Claim/Other","1",""
"32K","Home Health Inpatient (Part B) OIG Initiated Adjustment Claim","1",""
"32M","Home Health Inpatient (Part B) MSP Initiated Adjustment Claim","1",""
"32O","Home Health Inpatient (Part B) Nonpayment/Zero Claims","1",""
"32P","Home Health Inpatient (Part B) QIO Adjustment Claim","1",""
"32Q","Home Health Inpatient (Part B) Reopening/Adjustment","1",""
"32X","Home Health Inpatient (Part B) Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"32Y","Home Health Inpatient (Part B) Replacement of Prior Abbreviated Encounter Submission","1",""
"32Z","Home Health Inpatient (Part B) New Abbreviated Encounter Submission","1",""
"330","Home Health Outpatient Non-payment/Zero Claim","1",""
"331","Home Health Outpatient Admit Through Discharge","1",""
"332","Home Health Outpatient Interim - First Claim","1",""
"333","Home Health Outpatient Interim-Continuing Claims","1",""
"334","Home Health Outpatient Interim - Last Claim","1",""
"335","Home Health Outpatient Late Charge Only","1",""
"337","Home Health Outpatient Replacement of Prior Claim","1",""
"338","Home Health Outpatient Void/Cancel of Prior Claim","1",""
"339","Home Health Outpatient Final claim for a Home Health PPS Period","1",""
"33A","Home Health Outpatient Admission/Election Notice for Hospice","1",""
"33B","Home Health Outpatient Hospice Termination/ Revocation Notice","1",""
"33C","Home Health Outpatient Hospice Change of Provider Notice","1",""
"33D","Home Health Outpatient Hospice Election Void/Cancel","1",""
"33E","Home Health Outpatient Hospice Change of Ownership","1",""
"33F","Home Health Outpatient Beneficiary Initiated Adjustment Claim","1",""
"33G","Home Health Outpatient CWF Initiated Adjustment Claim","1",""
"33H","Home Health Outpatient CMS Initiated Adjustment Claim","1",""
"33I","Home Health Outpatient FI Adjustment Claim (Other than QIO or Provider)","1",""
"33J","Home Health Outpatient Initiated Adjustment Claim/Other","1",""
"33K","Home Health Outpatient OIG Initiated Adjustment Claim","1",""
"33M","Home Health Outpatient MSP Initiated Adjustment Claim","1",""
"33O","Home Health Outpatient Nonpayment/Zero Claims","1",""
"33P","Home Health Outpatient QIO Adjustment Claim","1",""
"33Q","Home Health Outpatient Reopening/Adjustment","1",""
"33X","Home Health Outpatient Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"33Y","Home Health Outpatient Replacement of Prior Abbreviated Encounter Submission","1",""
"33Z","Home Health Outpatient New Abbreviated Encounter Submission","1",""
"340","Home Health Other (Part B) Non-payment/Zero Claim","1",""
"341","Home Health Other (Part B) Admit Through Discharge","1",""
"342","Home Health Other (Part B) Interim - First Claim","1",""
"343","Home Health Other (Part B) Interim-Continuing Claims","1",""
"344","Home Health Other (Part B) Interim - Last Claim","1",""
"345","Home Health Other (Part B) Late Charge Only","1",""
"347","Home Health Other (Part B) Replacement of Prior Claim","1",""
"348","Home Health Other (Part B) Void/Cancel of Prior Claim","1",""
"349","Home Health Other (Part B) Final claim for a Home Health PPS Period","1",""
"34A","Home Health Other (Part B) Admission/Election Notice for Hospice","1",""
"34B","Home Health Other (Part B) Hospice Termination/ Revocation Notice","1",""
"34C","Home Health Other (Part B) Hospice Change of Provider Notice","1",""
"34D","Home Health Other (Part B) Hospice Election Void/Cancel","1",""
"34E","Home Health Other (Part B) Hospice Change of Ownership","1",""
"34F","Home Health Other (Part B) Beneficiary Initiated Adjustment Claim","1",""
"34G","Home Health Other (Part B) CWF Initiated Adjustment Claim","1",""
"34H","Home Health Other (Part B) CMS Initiated Adjustment Claim","1",""
"34I","Home Health Other (Part B) FI Adjustment Claim (Other than QIO or Provider)","1",""
"34J","Home Health Other (Part B) Initiated Adjustment Claim/Other","1",""
"34K","Home Health Other (Part B) OIG Initiated Adjustment Claim","1",""
"34M","Home Health Other (Part B) MSP Initiated Adjustment Claim","1",""
"34O","Home Health Other (Part B) Nonpayment/Zero Claims","1",""
"34P","Home Health Other (Part B) QIO Adjustment Claim","1",""
"34Q","Home Health Other (Part B) Reopening/Adjustment","1",""
"34X","Home Health Other (Part B) Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"34Y","Home Health Other (Part B) Replacement of Prior Abbreviated Encounter Submission","1",""
"34Z","Home Health Other (Part B) New Abbreviated Encounter Submission","1",""
"350","Home Health Intermediate Care - Level I Non-payment/Zero Claim","1",""
"351","Home Health Intermediate Care - Level I Admit Through Discharge","1",""
"352","Home Health Intermediate Care - Level I Interim - First Claim","1",""
"353","Home Health Intermediate Care - Level I Interim-Continuing Claims","1",""
"354","Home Health Intermediate Care - Level I Interim - Last Claim","1",""
"355","Home Health Intermediate Care - Level I Late Charge Only","1",""
"357","Home Health Intermediate Care - Level I Replacement of Prior Claim","1",""
"358","Home Health Intermediate Care - Level I Void/Cancel of Prior Claim","1",""
"359","Home Health Intermediate Care - Level I Final claim for a Home Health PPS Period","1",""
"35A","Home Health Intermediate Care - Level I Admission/Election Notice for Hospice","1",""
"35B","Home Health Intermediate Care - Level I Hospice Termination/ Revocation Notice","1",""
"35C","Home Health Intermediate Care - Level I Hospice Change of Provider Notice","1",""
"35D","Home Health Intermediate Care - Level I Hospice Election Void/Cancel","1",""
"35E","Home Health Intermediate Care - Level I Hospice Change of Ownership","1",""
"35F","Home Health Intermediate Care - Level I Beneficiary Initiated Adjustment Claim","1",""
"35G","Home Health Intermediate Care - Level I CWF Initiated Adjustment Claim","1",""
"35H","Home Health Intermediate Care - Level I CMS Initiated Adjustment Claim","1",""
"35I","Home Health Intermediate Care - Level I FI Adjustment Claim (Other than QIO or Provider)","1",""
"35J","Home Health Intermediate Care - Level I Initiated Adjustment Claim/Other","1",""
"35K","Home Health Intermediate Care - Level I OIG Initiated Adjustment Claim","1",""
"35M","Home Health Intermediate Care - Level I MSP Initiated Adjustment Claim","1",""
"35O","Home Health Intermediate Care - Level I Nonpayment/Zero Claims","1",""
"35P","Home Health Intermediate Care - Level I QIO Adjustment Claim","1",""
"35Q","Home Health Intermediate Care - Level I Reopening/Adjustment","1",""
"35X","Home Health Intermediate Care - Level I Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"35Y","Home Health Intermediate Care - Level I Replacement of Prior Abbreviated Encounter Submission","1",""
"35Z","Home Health Intermediate Care - Level I New Abbreviated Encounter Submission","1",""
"360","Home Health Intermediate Care - Level II Non-payment/Zero Claim","1",""
"361","Home Health Intermediate Care - Level II Admit Through Discharge","1",""
"362","Home Health Intermediate Care - Level II Interim - First Claim","1",""
"363","Home Health Intermediate Care - Level II Interim-Continuing Claims","1",""
"364","Home Health Intermediate Care - Level II Interim - Last Claim","1",""
"365","Home Health Intermediate Care - Level II Late Charge Only","1",""
"367","Home Health Intermediate Care - Level II Replacement of Prior Claim","1",""
"368","Home Health Intermediate Care - Level II Void/Cancel of Prior Claim","1",""
"369","Home Health Intermediate Care - Level II Final claim for a Home Health PPS Period","1",""
"36A","Home Health Intermediate Care - Level II Admission/Election Notice for Hospice","1",""
"36B","Home Health Intermediate Care - Level II Hospice Termination/ Revocation Notice","1",""
"36C","Home Health Intermediate Care - Level II Hospice Change of Provider Notice","1",""
"36D","Home Health Intermediate Care - Level II Hospice Election Void/Cancel","1",""
"36E","Home Health Intermediate Care - Level II Hospice Change of Ownership","1",""
"36F","Home Health Intermediate Care - Level II Beneficiary Initiated Adjustment Claim","1",""
"36G","Home Health Intermediate Care - Level II CWF Initiated Adjustment Claim","1",""
"36H","Home Health Intermediate Care - Level II CMS Initiated Adjustment Claim","1",""
"36I","Home Health Intermediate Care - Level II FI Adjustment Claim (Other than QIO or Provider)","1",""
"36J","Home Health Intermediate Care - Level II Initiated Adjustment Claim/Other","1",""
"36K","Home Health Intermediate Care - Level II OIG Initiated Adjustment Claim","1",""
"36M","Home Health Intermediate Care - Level II MSP Initiated Adjustment Claim","1",""
"36O","Home Health Intermediate Care - Level II Nonpayment/Zero Claims","1",""
"36P","Home Health Intermediate Care - Level II QIO Adjustment Claim","1",""
"36Q","Home Health Intermediate Care - Level II Reopening/Adjustment","1",""
"36X","Home Health Intermediate Care - Level II Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"36Y","Home Health Intermediate Care - Level II Replacement of Prior Abbreviated Encounter Submission","1",""
"36Z","Home Health Intermediate Care - Level II New Abbreviated Encounter Submission","1",""
"370","Home Health Subacute Inpatient Non-payment/Zero Claim","1",""
"371","Home Health Subacute Inpatient Admit Through Discharge","1",""
"372","Home Health Subacute Inpatient Interim - First Claim","1",""
"373","Home Health Subacute Inpatient Interim-Continuing Claims","1",""
"374","Home Health Subacute Inpatient Interim - Last Claim","1",""
"375","Home Health Subacute Inpatient Late Charge Only","1",""
"377","Home Health Subacute Inpatient Replacement of Prior Claim","1",""
"378","Home Health Subacute Inpatient Void/Cancel of Prior Claim","1",""
"379","Home Health Subacute Inpatient Final claim for a Home Health PPS Period","1",""
"37A","Home Health Subacute Inpatient Admission/Election Notice for Hospice","1",""
"37B","Home Health Subacute Inpatient Hospice Termination/ Revocation Notice","1",""
"37C","Home Health Subacute Inpatient Hospice Change of Provider Notice","1",""
"37D","Home Health Subacute Inpatient Hospice Election Void/Cancel","1",""
"37E","Home Health Subacute Inpatient Hospice Change of Ownership","1",""
"37F","Home Health Subacute Inpatient Beneficiary Initiated Adjustment Claim","1",""
"37G","Home Health Subacute Inpatient CWF Initiated Adjustment Claim","1",""
"37H","Home Health Subacute Inpatient CMS Initiated Adjustment Claim","1",""
"37I","Home Health Subacute Inpatient FI Adjustment Claim (Other than QIO or Provider)","1",""
"37J","Home Health Subacute Inpatient Initiated Adjustment Claim/Other","1",""
"37K","Home Health Subacute Inpatient OIG Initiated Adjustment Claim","1",""
"37M","Home Health Subacute Inpatient MSP Initiated Adjustment Claim","1",""
"37O","Home Health Subacute Inpatient Nonpayment/Zero Claims","1",""
"37P","Home Health Subacute Inpatient QIO Adjustment Claim","1",""
"37Q","Home Health Subacute Inpatient Reopening/Adjustment","1",""
"37X","Home Health Subacute Inpatient Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"37Y","Home Health Subacute Inpatient Replacement of Prior Abbreviated Encounter Submission","1",""
"37Z","Home Health Subacute Inpatient New Abbreviated Encounter Submission","1",""
"380","Home Health Swing BedsNon-payment/Zero Claim","1",""
"381","Home Health Swing BedsAdmit Through Discharge","1",""
"382","Home Health Swing BedsInterim - First Claim","1",""
"383","Home Health Swing BedsInterim-Continuing Claims","1",""
"384","Home Health Swing BedsInterim - Last Claim","1",""
"385","Home Health Swing BedsLate Charge Only","1",""
"387","Home Health Swing BedsReplacement of Prior Claim","1",""
"388","Home Health Swing BedsVoid/Cancel of Prior Claim","1",""
"389","Home Health Swing BedsFinal claim for a Home Health PPS Period","1",""
"38A","Home Health Swing BedsAdmission/Election Notice for Hospice","1",""
"38B","Home Health Swing BedsHospice Termination/ Revocation Notice","1",""
"38C","Home Health Swing BedsHospice Change of Provider Notice","1",""
"38D","Home Health Swing BedsHospice Election Void/Cancel","1",""
"38E","Home Health Swing BedsHospice Change of Ownership","1",""
"38F","Home Health Swing BedsBeneficiary Initiated Adjustment Claim","1",""
"38G","Home Health Swing BedsCWF Initiated Adjustment Claim","1",""
"38H","Home Health Swing BedsCMS Initiated Adjustment Claim","1",""
"38I","Home Health Swing BedsFI Adjustment Claim (Other than QIO or Provider)","1",""
"38J","Home Health Swing BedsInitiated Adjustment Claim/Other","1",""
"38K","Home Health Swing BedsOIG Initiated Adjustment Claim","1",""
"38M","Home Health Swing BedsMSP Initiated Adjustment Claim","1",""
"38O","Home Health Swing BedsNonpayment/Zero Claims","1",""
"38P","Home Health Swing BedsQIO Adjustment Claim","1",""
"38Q","Home Health Swing BedsReopening/Adjustment","1",""
"38X","Home Health Swing BedsVoid/Cancel a Prior Abbreviated Encounter Submission","1",""
"38Y","Home Health Swing BedsReplacement of Prior Abbreviated Encounter Submission","1",""
"38Z","Home Health Swing BedsNew Abbreviated Encounter Submission","1",""
"410","Religious Nonmedical (Hospital) Inpatient (Part A) Non-payment/Zero Claim","1",""
"411","Religious Nonmedical (Hospital) Inpatient (Part A) Admit Through Discharge","1",""
"412","Religious Nonmedical (Hospital) Inpatient (Part A) Interim - First Claim","1",""
"413","Religious Nonmedical (Hospital) Inpatient (Part A) Interim-Continuing Claims","1",""
"414","Religious Nonmedical (Hospital) Inpatient (Part A) Interim - Last Claim","1",""
"415","Religious Nonmedical (Hospital) Inpatient (Part A) Late Charge Only","1",""
"417","Religious Nonmedical (Hospital) Inpatient (Part A) Replacement of Prior Claim","1",""
"418","Religious Nonmedical (Hospital) Inpatient (Part A) Void/Cancel of Prior Claim","1",""
"419","Religious Nonmedical (Hospital) Inpatient (Part A) Final claim for a Home Health PPS Period","1",""
"41A","Religious Nonmedical (Hospital) Inpatient (Part A) Admission/Election Notice for Hospice","1",""
"41B","Religious Nonmedical (Hospital) Inpatient (Part A) Hospice Termination/ Revocation Notice","1",""
"41C","Religious Nonmedical (Hospital) Inpatient (Part A) Hospice Change of Provider Notice","1",""
"41D","Religious Nonmedical (Hospital) Inpatient (Part A) Hospice Election Void/Cancel","1",""
"41E","Religious Nonmedical (Hospital) Inpatient (Part A) Hospice Change of Ownership","1",""
"41F","Religious Nonmedical (Hospital) Inpatient (Part A) Beneficiary Initiated Adjustment Claim","1",""
"41G","Religious Nonmedical (Hospital) Inpatient (Part A) CWF Initiated Adjustment Claim","1",""
"41H","Religious Nonmedical (Hospital) Inpatient (Part A) CMS Initiated Adjustment Claim","1",""
"41I","Religious Nonmedical (Hospital) Inpatient (Part A) FI Adjustment Claim (Other than QIO or Provider)","1",""
"41J","Religious Nonmedical (Hospital) Inpatient (Part A) Initiated Adjustment Claim/Other","1",""
"41K","Religious Nonmedical (Hospital) Inpatient (Part A) OIG Initiated Adjustment Claim","1",""
"41M","Religious Nonmedical (Hospital) Inpatient (Part A) MSP Initiated Adjustment Claim","1",""
"41O","Religious Nonmedical (Hospital) Inpatient (Part A) Nonpayment/Zero Claims","1",""
"41P","Religious Nonmedical (Hospital) Inpatient (Part A) QIO Adjustment Claim","1",""
"41Q","Religious Nonmedical (Hospital) Inpatient (Part A) Reopening/Adjustment","1",""
"41X","Religious Nonmedical (Hospital) Inpatient (Part A) Void/Cancel a Prior Abbreviated Encounter Submission","1",""
"41Y","Religious Nonmedical (Hospital) Inpatient (Part A) Replacement of Prior Abbreviated Encounter Submission","1",""
"41Z","Religious Nonmedical (Hospital) Inpatient (Part A) New Abbreviated Encounter Submission","1",""
"420","Religious Nonmedical (Hospital) Inpatient (Part B) Non-payment/Zero Claim","1",""
"421","Religious Nonmedical (Hospital) Inpatient (Part B) Admit Through Discharge","1",""
"422","Religious Nonmedical (Hospital) Inpatient (Part B) Interim - First Claim","1",""
"423","Religious Nonmedical (Hospital) Inpatient (Part B) Interim-Continuing Claims","1",""
"424","Religious Nonmedical (Hospital) Inpatient (Part B) Interim - Last Claim","1",""
"425","Religious Nonmedical (Hospital) Inpatient (Part B) Late Charge Only","1",""
"427","Religious Nonmedical (Hospital) Inpatient (Part B) Replacement of Prior Claim","1",""
"428","Religious Nonmedical (Hospital) Inpatient (Part B) Void/Cancel of Prior Claim","1",""
"429","Religious Nonmedical (Hospital) Inpatient (Part B) Final claim for a Home Health PPS Period","1",""
"42A","Religious Nonmedical (Hospital) Inpatient (Part B) Admission/Election Notice for Hospice","1",""
"42B","Religious Nonmedical (Hospital) Inpatient (Part B) Hospice Termination/ Revocation Notice","1",""
"42C","Religious Nonmedical (Hospital) Inpatient (Part B) Hospice Change of Provider Notice","1",""
"42D","Religious Nonmedical (Hospital) Inpatient (Part B) Hospice Election Void/Cancel","1",""
"42E","Religious Nonmedical (Hospital) Inpatient (Part B) Hospice Change of Ownership","1",""
"42F","Religious Nonmedical (Hospital) Inpatient (Part B) Beneficiary Initiated Adjustment Claim","1",""
"42G","Religious Nonmedical (Hospital) Inpatient (Part B) CWF Initiated Adjustment Claim","1",""
"42H","Religious Nonmedical (Hospital) Inpatient (Part B) CMS Initiated Adjustment Claim","1",""
"42I","Religious Nonmedical (Hospital) Inpatient (Part B) FI Adjustment Claim (Other than QIO or Provider)","1",""
"42J","Religious Nonmedical (Hospital) Inpatient (Part B) Initiated Adjustment Claim/Other","1",""
"42K","Religious Nonmedical (Hospital) Inpatient (Part B) OIG Initiated Adjustment Claim","1",""
"42M","Religious Nonmedical (Hospital) Inpatient (Part B) MSP Initiated Adjustment Claim","1",""
"42O","Religious Nonmedical (Hospital) Inpatient (Part B) Nonpayment/Zero Claims","1",""
"42P","Religious Nonmedical (Hospital) Inpatient (Part B) QIO Adjustment Claim","1",""
"42Q","Religious Nonmedical (Hospital) Inpatient (Part B) Reopening/Adjustment","1",""
"42X","Religious Nonmedical (Hospital) Inpatient (Part B) Void/Cancel a Prior Abbreviated Encounter Submission","1",""
